AccountID,Type,BillingState,BillingCountry,AccountSource,Account_Status__c,ARR__c,EmployeesRange__c,Industry__c,SalesTargetAccount__c,SalesTeam__c,SalesTerritoryAE__c,OpenOpportunities__c,NumberofSessions__c,Industry_Score__c,EmployeeRangeScore__c,Engagement_Score__c,IsABM__c,Do_No_Contact__c
0012o00002sPOu9,Standard,Nordrhein-Westfalen,Germany,HG Insights,Business,0.0,1001-5000,"Life Sciences, Pharma, & Biotech",false,DACH,DACH - Healthcare and Pharma,0.0,0.0,25.0,50.0,0.0,false,false
0012o00002sPG0g,Standard,Texas,United States,HG Insights,Business,0.0,10.000+,"Public Sector, Government, Education",false,NA - Enterprise,NA - South - Enterprise,0.0,2.0,0.0,100.0,0.0,false,false
0012o00002sPKHs,Standard,Kentucky,United States,HG Insights,Business,0.0,1001-5000,Manufacturing,false,NA - Corporate & LATAM,NA - South - Corporate,0.0,1.0,50.0,50.0,0.0,false,false
0012o00002sPOuL,Standard,Nordrhein-Westfalen,Germany,HG Insights,Business,0.0,5001-10.000,"Telecommunications, Media & Entertainment",false,DACH,DACH - Telco & Media 5K+,0.0,0.0,100.0,0.0,0.0,false,false
0012o00002sPOu6,Standard,Baden-W\u00fcrttemberg,Germany,HG Insights,Business,0.0,1001-5000,Logistics & Transportation,false,DACH,DACH - Logistics,0.0,0.0,75.0,50.0,0.0,false,false
0012o00002sPOu4,Standard,Baden-W\u00fcrttemberg,Germany,HG Insights,Business,0.0,1001-5000,Retail,false,DACH,DACH - Retail,0.0,0.0,50.0,50.0,0.0,false,false
0012o00002sPKHg,Standard,Tennessee,United States,HG Insights,Business,0.0,5001-10.000,Consulting & Business Services,false,NA - Corporate & LATAM,NA - South - Corporate,0.0,0.0,50.0,0.0,0.0,false,false
0012o00002h48Ju,Standard,baden-wurttemberg,germany,Marketing,Business,0.0,101-1000,Consulting & Business Services,false,DACH,DACH - Whitepatch <5K,0.0,7.0,50.0,0.0,1.0,false,false
0012o00002sPKHv,Standard,Arkansas,United States,HG Insights,Business,0.0,1001-5000,Healthcare,false,NA - Corporate & LATAM,NA - South - Corporate,0.0,0.0,25.0,50.0,0.0,false,false
0012o00002h4ClD,Standard,,germany,Marketing,Business,0.0,Less than 20,Unknown,false,DACH,DACH - Whitepatch <5K,0.0,110.0,0.0,0.0,0.0,false,false
0012o00002sPG0s,Standard,Florida,United States,HG Insights,Business,0.0,5001-10.000,Banking & Financial Services,false,NA - Corporate & LATAM,NA - Southeast - Corporate,0.0,0.0,100.0,0.0,0.0,false,false
0012o00002sPKHy,Standard,Maryland,United States,HG Insights,Business,0.0,1001-5000,Consulting & Business Services,false,NA - Corporate & LATAM,NA - Southeast - Corporate,0.0,0.0,50.0,50.0,0.0,false,false
0012o00002sPG0z,Standard,Texas,United States,HG Insights,Business,0.0,1001-5000,Retail,false,NA - Corporate & LATAM,NA - South - Corporate,0.0,1.0,50.0,50.0,0.0,false,false
0012o00002sPOub,Standard,Wien,Austria,HG Insights,Business,0.0,1001-5000,Manufacturing,false,DACH,DACH - Manufacturing,0.0,11.0,50.0,50.0,0.0,false,false
0012o00002sPOuE,Standard,Nordrhein-Westfalen,Germany,HG Insights,Business,0.0,1001-5000,Logistics & Transportation,false,DACH,DACH - Logistics,0.0,0.0,75.0,50.0,0.0,false,false
0012o00002sPKHo,Standard,New York,United States,HG Insights,Business,0.0,1001-5000,Banking & Financial Services,false,NA - Corporate & LATAM,NA - Northeast Corporate,0.0,0.0,100.0,50.0,0.0,false,false
0012o00002sPG0k,Standard,Illinois,United States,HG Insights,Business,0.0,5001-10.000,Manufacturing,false,NA - Corporate & LATAM,NA - Central Corporate,0.0,0.0,50.0,0.0,0.0,false,false
0012o00002sPOuH,Standard,Bayern,Germany,HG Insights,Business,0.0,1001-5000,Manufacturing,false,DACH,DACH - Manufacturing,0.0,0.0,50.0,50.0,0.0,false,false
0012o00002sPOuK,Standard,Nordrhein-Westfalen,Germany,HG Insights,Business,0.0,1001-5000,Logistics & Transportation,false,DACH,DACH - Logistics,0.0,0.0,75.0,50.0,0.0,false,false
0012o00002sPOuX,Standard,THURGAU,Switzerland,HG Insights,Business,0.0,1001-5000,Retail,false,DACH,DACH - Retail,0.0,16.0,50.0,50.0,1.0,false,false
0012o00002i7Qcj,Standard,Quebec,Canada,,Business,0.0,,,false,NA - Corporate & LATAM,,0.0,0.0,0.0,0.0,0.0,false,false
0012o00002sPKI9,Standard,Missouri,United States,HG Insights,Business,0.0,1001-5000,"Public Sector, Government, Education",false,NA - Corporate & LATAM,NA - Central Corporate,0.0,0.0,0.0,50.0,0.0,false,false
0012o00002sPKIA,Standard,Connecticut,United States,HG Insights,Business,0.0,1001-5000,"Public Sector, Government, Education",false,NA - Corporate & LATAM,NA - Northeast Corporate,0.0,0.0,0.0,50.0,0.0,false,false
0012o00002sPOue,Standard,Bayern,Germany,HG Insights,Business,0.0,1001-5000,Manufacturing,false,DACH,DACH - Manufacturing,0.0,0.0,50.0,50.0,0.0,false,false
0012o00002sPKIE,Standard,Ohio,United States,HG Insights,Business,0.0,1001-5000,Healthcare,false,NA - Corporate & LATAM,NA - Central Corporate,0.0,0.0,25.0,50.0,0.0,false,false
0012o00002sPOuj,Standard,Tirol,Austria,HG Insights,Business,0.0,1001-5000,Manufacturing,false,DACH,DACH - Manufacturing,0.0,0.0,50.0,50.0,0.0,false,false
0012o00002sPG1F,Standard,Ohio,United States,HG Insights,Business,0.0,1001-5000,Utilities,false,NA - Corporate & LATAM,NA - Central Corporate,0.0,0.0,100.0,50.0,0.0,false,false
