AccountID,Type,BillingState,BillingCountry,Account_Status__c,ARR__c,EmployeesRange__c,Industry__c,SalesTargetAccount__c,SalesTeam__c,SalesTerritoryAE__c,OpenOpportunities__c,NumberofSessions__c,Industry_Score__c,EmployeeRangeScore__c,Engagement_Score__c,IsABM__c,Do_No_Contact__c,AccountSource,label
0012o00002mqmwk,Partner,New York,United States,Partner,0.0,10.000+,Banking & Financial Services,False,NA - Enterprise,NA - Northeast Enterprise,0.0,19.0,100.0,100.0,7.0,False,False,Zoominfo,False
0012o00002mqwRy,Standard,timis,romania,Business,0.0,5001-10.000,Software & Technology,False,EMEA W,RoW - E Europe,0.0,39.0,100.0,0.0,3.0,False,False,Marketing,False
0012o00002mqn1i,Standard,minnesota,united states,Business,0.0,Less than 20,,False,NA - Corporate & LATAM,NA - Central Corporate,0.0,23.0,0.0,0.0,3.0,False,False,Marketing,False
0012o00002mqmxM,Partner,Ohio,United States,Partner,0.0,101-1000,Software & Technology,False,NA - Corporate & LATAM,NA - Central Corporate,0.0,7.0,100.0,0.0,3.0,False,False,Zoominfo,False
0012o00002mqsxI,Standard,sachsen-anhalt,germany,Business,0.0,101-1000,Banking & Financial Services,False,DACH,DACH - Banking,0.0,17.0,100.0,0.0,5.0,False,False,Marketing,False
0012o00002mqq6b,Partner,,France,Partner,0.0,Less than 20,Consulting & Business Services,False,EMEA W,France - Software & Consulting,0.0,334.0,50.0,0.0,7.0,False,False,Marketing,False
0012o00002mquhY,Partner,milano,Italy,Partner,0.0,5001-10.000,Software & Technology,False,EMEA W,Mediterranean,0.0,23.0,100.0,0.0,6.0,False,False,Marketing,False
0012o00002i7O2n,Standard,baden-wurttemberg,Germany,Business,0.0,21-100,"Telecommunications, Media & Entertainment",False,DACH,,0.0,1.0,100.0,0.0,3.0,False,False,Marketing,False
0012o00002mqr9B,Standard,,united kingdom,Business,0.0,Less than 20,Software & Technology,False,EMEA N,UKI - Software & Technology,0.0,31.0,100.0,0.0,3.0,False,False,Marketing,False
0012o00002mqsyu,Standard,maharashtra,India,Business,0.0,10.000+,Banking & Financial Services,True,APAC,RoW - APAC (Other),0.0,4.0,100.0,100.0,5.0,False,False,Marketing,False
0012o00002mqy93,Standard,,Lithuania,Business,0.0,10.000+,Logistics & Transportation,False,EMEA W,RoW - E Europe,0.0,142.0,75.0,100.0,6.0,False,False,Unknown,False
0012o00002mr5wp,Standard,illinois,united states,Business,75880.21044111694,21-100,Software & Technology,False,NA - Corporate & LATAM,NA - Central Corporate,0.0,203.0,100.0,0.0,12.0,False,False,Marketing,False
0012o00002mr65M,Standard,,,Business,0.0,10.000+,"Telecommunications, Media & Entertainment",False,EMEA W,Africa,0.0,0.0,100.0,100.0,3.0,False,False,,False
0012o00002mqxwO,Standard,attiki,greece,Business,0.0,Less than 20,,False,EMEA W,Mediterranean,0.0,102.0,0.0,0.0,3.0,False,False,Marketing,False
0012o00002mrEIS,Standard,,Brazil,Business,0.0,101-1000,Banking & Financial Services,False,NA - Corporate & LATAM,RoW - LATAM,0.0,0.0,100.0,0.0,3.0,False,False,,False
